時間戳記,專案名稱,專案階段,問題類別,遇到的困難 / 痛點描述,當下處理方式 (應變措施),事後結論與改善建議,AI 檢索關鍵字 (Tag),相關文件/範例連結,填寫者
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,行政與核銷/文宣,地方阿嬤是伸手牌，會直接把手機丟給工作人員要求幫忙完成冗長的「掃QRcode、複製文字、貼上#Hashtag」流程，造成現場大塞車。,工作人員與工讀生變成人工作業幫忙操作。,檢討流程是否過於冗長。未來可以主動向市府/業主建議減少不必要的#Hashtag（標籤）指定。,"伸手牌民眾, 掃QRcode, 流程冗長, Hashtag太多",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,人力與物資調度,寵物競賽從下午三四點一路忙到晚上七點多，主持人和工作人員完全沒有時間上廁所和喝水，時程太緊湊。,工作人員咬牙硬撐硬hold現場。,安排時程應規劃適當忠間休息時間，或安排兩組競賽工作人員輪番上陣。,"時程太緊, 工作人員沒休息, 競賽時間, 人力分配",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,流程與時間掌控,活動下午兩點或三點才開幕是否太晚？因配合長官/市長出席時間、及減少預算與購物節合辦，導致整體時程往後延，各項賽事未留充分準備時間。,配合科內與長官指示，壓縮賽事與準備期，硬著頭皮在有限時間內走完流程。,未來建議各項賽事符合標規需求即可（不用刻意多加組數），以減少活動時間長度；開幕與長官時間應在前期與公司專業角度予以建議。,"長官致詞延誤, 市長出席, 時程太緊, 購物節合辦",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,現場突發狀況,寵物市集或活動現場音響聲音太大，導致休息帳篷內的寵物（狗狗）受到驚嚇，主人反映。,現場調音量或安撫主人。,未來規劃場地圖時，休息帳、寵物停留區應規劃離音響喇叭遠一點，或使用圍布遮蓋太陽照射處。,"音響太大聲, 寵物受驚, 帳篷位置, 舞台噪音",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,人力與物資調度,原本安排負責現場的人員臨時不見（例如：去載80個便當），導致崗位空缺。,當場緊急請其他機動同仁幫忙頂替。,如果因特殊事由（如晚餐數量多、便宜但需親自載運）需臨時離開崗位，必須交代給其他機動人員或交代交接窗口。,"同事不見, 機動調度, 訂便當, 崗位空缺",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,廠商與硬體管理,舞台後方的電線被民眾踢到，導致現場線路斷掉；或前一晚太晚架設（晚上9點發電機才到），隔天早上未確認各區域用電，導致溫蒂衝去拯救接電。,溫蒂當天從萌寵競賽終點處衝過去找廠商緊急拯救接電。,硬體架設必須多預留時間（如連假中間活動應討論最後上班日先開放進場），走線必須用膠帶確實貼住固定，避免硬體廠商尬場忽略細節。,"舞台斷電, 發電機跳電, 電線被踢斷, 硬體架設時間",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,廠商與硬體管理,寵物賽跑競賽長度安排太長（多搭了4個歐帳），導致耗費成本且終點處麥克風完全收不到訊號。,現場臨時調整合適長度。,規劃時競賽長度應適中。如果場地真的比較遠，必須提前跟音響硬體廠商確認無線麥克風的接收距離極限。,"麥克風沒聲音, 競賽長度, 音響訊號, 歐帳搭錯",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,現場突發狀況,主持人看起來較少主持寵物遊戲類活動，頭一關與狗狗沒默契、品種不熟、缺少與主人互動。,PM與工作人員在台下加強提示、協助帶動氣氛。,未來此偏向趣味與專業互動類的活動，應找比較有相關類型經驗的主持人。,"主持人沒默契, 寵物活動主持人, 現場冷場",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,權責分工與溝通,小型犬頒獎完畢後科長才抵達，請科長補頒獎。主因是前期誤區（以為比照前年自己人頒、沒跟業務單位re好誰頒獎）。,現場應變，請科長補頒獎。,在細流討論時，專案主管應憑經驗為PM指點迷津（補上安排長官部分）。現場未跟業務單位再三確認長官到場前，勿自行提早進行頒獎。,"長官補頒獎, 頒獎流程, 業務單位溝通, 科長抵達",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,現場突發狀況,炎夏、下午太陽底下的戶外活動極度炎熱，工作人員疑似中暑及抽筋，最壞情況恐熱衰竭休克。,現場人員互相照顧。,夏天戶外活動應多準備運動飲料補充電解質。未來類似夏日太陽下的活動，應將「水冷扇」或大風扇列入標準發包裝備。,"工作人員中暑, 抽筋, 夏天戶外活動, 水冷扇",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,現場突發狀況,狗狗因為天氣太熱，全部跑到服務台避暑甚至現場撒尿。,現場緊急清理。,寵物主題活動應在適當陰涼處設置「小狗補水區/避暑區」，分流服務台壓力。,"狗狗避暑, 狗撒尿, 寵物補水區, 服務台混亂",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,現場突發狀況,集點卡因為文宣出錯（有的寫15格、有的寫5格），導致貪小便宜的民眾在現場發現規則不符而大聲叫囂。,現場極力安撫並依據對外已發布的資料認定。,對外的文宣需要再三檢查，必須準備一份正式的「工作細流」與對應的文宣逐字逐句核對，避免因業主臨時調整而漏改文宣。,"民眾叫囂, 文宣印錯, 集點卡規則, 爭議處理",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,流程與時間掌控,溫蒂規劃完細流並請大PM確認市集、闖關、摸彩橋段，但到了現場主管/高層卻說「都沒人知道這段流程」。,現場緊急向主管解釋並硬著頭皮執行。,未來不論細流由誰代為規劃，大PM（全案負責人）必須全部去細部調整、了解全案內容，以免與主管對接時出現溝通空窗。,"流程高層不知道, 大PM狀況外, 細流確認, 流程空窗",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,各種突發狀況,摸彩速度太快，長官抽出號碼後台下來不及記錄。,現場工作人員口頭複誦。,可以製作摸彩號碼道具背板，讓長官抽出來後可以黏貼在背板上，或安排「小天使工讀生」在一旁大字寫上號碼。,"摸彩背板, 號碼黏貼, 小天使, 摸彩速度",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,廠商與硬體管理,啟動儀式台與原先規劃不同，且發包與確認過程一改再改（找了兩三家廠商、改黏貼時間、載運問題）。,溫蒂前幾天瘋狂打電話聯繫各家廠商、盯場直到週五中午黏好完整啟動儀式道具。,事先必須跟廠商確認啟動儀式的「所有細節內容」，包括輸出尺寸、插卡內容物等，並預留安全施工時間。,"啟動儀式道具, 廠商反覆, 輸出尺寸, 道具黏貼",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,人力與物資調度,市集活動現場沒有安排固定的清潔人力，垃圾袋也準備不足，導致環境髒亂。,現場人員機動清理。,依據過去經驗（如年貨大街），市集活動一天一窗口至少需要準備20~30個垃圾袋，且必須安排「固定清潔人力與工具」。,"清潔人員, 垃圾袋不夠, 市集清潔, 環保局窗口",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,流程與時間掌控,闖關卡完成難度太高（需消費7個攤位、蓋滿15個章），導致索取率高、但實際摸彩券兌換率極低。科長與科員現場也在討論太嚴格。,現場維持原規則。,下次規劃時可以先給業務單位/業主可能會產生的風險情況（如降低民眾參與意願），由他們自己評估，不應把規則訂得太死。,"闖關太難, 攤位消費限制, 兌換率低, 規則太嚴格",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,現場突發狀況,「毛手毛腳」寵物遊戲趣味競賽過程太冗長，台下觀眾覺得無聊；且有些狗狗現場不願意被摸，導致流程卡住。,現場主持人與PM努力帶動氣氛。,建議安排在舞台上的趣味競賽，可以規劃一隻或兩隻明星狗在台上挑戰賽即可。,"趣味競賽冗長, 觀眾無聊, 狗狗不配合",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,人力與物資調度,趣味競賽出現「全員都答對/過關」的狀況，導致原本預估的獎品數量嚴重不足。,現場詢問民眾是否有意願更換其他等值品項，或「現場留資料，承諾事後補寄」（本次有兩名民眾留資料）。,競賽結果必須做極端情境考量（如全部過關或全部淘汰）。現場要備妥更換品，或建立標準的「事後補寄登記表與核銷機制」。,"獎品不夠, 更換獎品, 事後補寄, 競賽結果預估",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,權責分工與溝通,收到業務單位提供其他公園（中央廣場）的寵物賽跑圓拱帳照片希望比照辦理，但本次是辦在不同的文化公園，現地條件不符。,群組溝通困難。,工作會議前期溝通在現場（現地場勘）時就要確認清楚，現地經驗不同時切勿只透過群組溝通，真的很難有效達成共識。,"場勘現地經驗, 文化公園, 中央廣場, 群組溝通",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,現場突發狀況,活動辦在市中心公園（文化公園），週日周邊交通完全癱瘓，臨時外出採買的車輛回來發現路邊車格或收費停車場完全客滿、無處可停。,PM與同仁自行找很遠的車位再走回來。,辦在熱門景點或癱瘓區域，事前必須跟交通局申請紅線臨時停車證，或提前規劃並保留「工作人員與廠商專屬停車區」。,"交通癱瘓, 停車場客滿, 紅線臨停, 停車位規劃",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,現場突發狀況,集點卡上完全沒有印遊戲規則，很多民眾一直跑到服務台詢問，工讀生不熟規則無法應對。,服務台人員疲於奔命解釋。,有預算的話，集點卡/闖關卡背面「一定要加上詳細遊戲規則」；且行前必須確保服務台工讀生完全熟悉規則。,"集點卡規則, 工讀生不熟, 服務台詢問, 遊戲規則",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,現場突發狀況,「打卡送好禮」活動已經兌換完畢，但沒有製作告示牌，導致技正/長官來詢問時很尷尬。,技正一提出問題後，PM立刻手寫兩張「已兌換完畢」，請工讀生貼在服務台與打卡牆。,任何限量兌換活動，出發前必須先請設計或PM預印好幾張「已兌換完畢」的精美告示牌，以便現場隨時黏貼，而非臨時手寫。,"打卡送完, 告示牌, 技正詢問, 臨時手寫",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,2. 活動當天/執行期,權責分工與溝通,現場臨時要修改長官致詞稿，結果現場沒有任何一個PM或同仁有帶筆記型電腦，差點無法修改。,丁丁很善良地跑去跟音響硬體廠商借到電腦，現場驚險修改完成。,活動當天，PM或主控台同仁為了以防萬一（改稿、播音樂、臨時修圖），「現場必須帶至少一台筆記型電腦」作為標配。,"沒帶電腦, 修改致詞稿, 現場改稿, 音響借電腦",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,3. 撤場/善後期,人力與物資調度,寵物市集店家或政令宣導單位（如警察）提出想提前離開，但表定是19:30結束才能撤場。工讀生撤場人力與工時（是否超時8小時）主管與同事不清楚由誰指揮。,瑞成請政令宣導人員去詢問農牧科；市集因事前有開進場說明會並截圖硬性規定，所以願意配合。,攤商管理必須在「進場說明會/合約」硬性規定撤場時間。撤場時，工讀生應請組長或大PM統一指揮安排，並提早盤點工時是否超時。,"提早撤場, 攤商管理, 工讀生超時, 撤場人力指揮",,Julia
2026/5/30 下午 4:33:40,台西市寵物嘉年華,3. 撤場/善後期,現場突發狀況,摸彩兌獎處混亂。舞台抽中時速度太快，工讀生誤將民眾的「存根聯」在舞台直接收走，導致民眾兩手空空無法兌獎；且填寫領據時，民眾不知道自己抽中哪個獎。,兌獎處現場一團混亂，人工比對。,1. 舞台千萬不要回收民眾的存根聯（那是他們的憑證）。 2. 抽出的摸彩券應立刻由小天使送到兌獎處。 3. 摸彩前舞台上一定要拿獎品示意並大聲說明是抽哪個獎。,"摸彩兌獎混亂, 存根聯收走, 領據填寫, 摸彩流程",,Julia
